0.38	0.38	0.38	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.36	0.36	0.36	0.35	0.35	0.35	0.35	0.36	0.36	0.36	0.36	0.36	0.36	0.36	0.37	0.37	0.38	0.38	0.38	0.37	0.36	0.37	0.39	0.42	0.42	0.42	0.44	0.45	0.43	0.41	0.42	0.43	0.44	0.44	0.43	0.42	0.41	0.41	0.41	0.41	0.42	0.41	0.40	0.38	0.35	0.34	0.35	0.36	0.40	0.46	0.48	0.48	0.47	0.43	0.41	0.42	0.43	0.44	0.46	0.45	0.42	0.40	0.39	0.37	0.32	0.29	0.30	0.37	0.45	0.51	0.51	0.46	0.42	0.35	0.29	0.31	0.36	0.43	0.47	0.47	0.41	0.37	0.38	0.42	0.42	0.39	0.37	0.34	0.34	0.41	0.46	0.46	0.47	0.50	0.51	0.49	0.45	0.38	0.33	0.34	0.36	0.40	0.46	0.45	0.40	0.40	0.42	0.40	0.38	0.38	0.40	0.39	0.38	0.37	0.37	0.35	0.30	0.25	0.22	0.19	0.16	0.16	0.18	0.23	0.31	0.41	0.47	0.51	0.53	0.52	0.54	0.56	0.53	0.49	0.48	0.50	0.51	0.52	0.50	0.45	0.44	0.43	0.41	0.41	0.49	0.55	0.62	0.69	
0.38	0.38	0.38	0.38	0.38	0.37	0.37	0.37	0.37	0.37	0.36	0.36	0.37	0.37	0.36	0.35	0.36	0.36	0.36	0.37	0.37	0.37	0.37	0.37	0.37	0.38	0.38	0.38	0.38	0.36	0.34	0.34	0.36	0.39	0.40	0.40	0.39	0.40	0.41	0.40	0.40	0.42	0.44	0.45	0.46	0.45	0.44	0.43	0.42	0.40	0.41	0.41	0.40	0.40	0.38	0.36	0.36	0.36	0.36	0.42	0.47	0.48	0.47	0.43	0.41	0.42	0.43	0.43	0.44	0.44	0.42	0.40	0.40	0.39	0.36	0.32	0.28	0.30	0.36	0.45	0.53	0.53	0.50	0.44	0.35	0.31	0.32	0.38	0.46	0.47	0.43	0.37	0.38	0.42	0.43	0.40	0.39	0.36	0.32	0.35	0.42	0.46	0.46	0.46	0.48	0.51	0.50	0.44	0.39	0.36	0.36	0.38	0.42	0.43	0.42	0.41	0.42	0.41	0.39	0.38	0.39	0.42	0.42	0.41	0.40	0.39	0.35	0.29	0.25	0.21	0.18	0.16	0.16	0.19	0.25	0.34	0.40	0.47	0.52	0.51	0.51	0.49	0.47	0.45	0.47	0.49	0.49	0.51	0.51	0.46	0.44	0.43	0.41	0.43	0.49	0.53	0.60	0.66	
0.38	0.38	0.38	0.38	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.36	0.36	0.37	0.37	0.36	0.36	0.36	0.36	0.36	0.37	0.37	0.37	0.38	0.38	0.38	0.39	0.39	0.38	0.35	0.32	0.31	0.31	0.35	0.38	0.40	0.40	0.40	0.39	0.38	0.39	0.40	0.43	0.46	0.48	0.47	0.45	0.45	0.43	0.41	0.40	0.41	0.41	0.41	0.40	0.38	0.38	0.37	0.35	0.37	0.43	0.47	0.47	0.44	0.39	0.36	0.37	0.39	0.40	0.41	0.39	0.38	0.39	0.39	0.37	0.34	0.28	0.25	0.28	0.36	0.46	0.53	0.55	0.54	0.47	0.36	0.30	0.32	0.40	0.44	0.42	0.39	0.40	0.43	0.44	0.42	0.40	0.38	0.34	0.32	0.35	0.41	0.46	0.44	0.43	0.48	0.52	0.51	0.49	0.47	0.45	0.42	0.41	0.42	0.43	0.42	0.41	0.40	0.40	0.39	0.40	0.43	0.46	0.45	0.43	0.42	0.40	0.34	0.27	0.23	0.18	0.15	0.14	0.17	0.22	0.31	0.37	0.40	0.44	0.46	0.46	0.46	0.45	0.44	0.47	0.48	0.48	0.50	0.50	0.49	0.46	0.45	0.45	0.47	0.51	0.55	0.61	0.63	
0.38	0.38	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.36	0.36	0.36	0.37	0.37	0.37	0.36	0.36	0.36	0.36	0.37	0.37	0.38	0.38	0.39	0.41	0.42	0.41	0.37	0.32	0.29	0.29	0.32	0.37	0.41	0.43	0.43	0.39	0.37	0.37	0.39	0.41	0.44	0.46	0.47	0.46	0.45	0.44	0.43	0.42	0.42	0.40	0.38	0.38	0.38	0.39	0.39	0.36	0.34	0.37	0.44	0.47	0.48	0.45	0.41	0.38	0.38	0.40	0.41	0.39	0.36	0.36	0.37	0.37	0.37	0.34	0.27	0.23	0.28	0.38	0.48	0.54	0.59	0.58	0.50	0.41	0.39	0.41	0.42	0.40	0.41	0.45	0.48	0.47	0.45	0.43	0.40	0.36	0.33	0.32	0.36	0.43	0.46	0.42	0.43	0.49	0.53	0.54	0.56	0.57	0.51	0.44	0.41	0.41	0.42	0.41	0.40	0.40	0.40	0.40	0.42	0.46	0.48	0.45	0.43	0.43	0.37	0.29	0.23	0.18	0.17	0.19	0.21	0.24	0.30	0.36	0.39	0.40	0.43	0.43	0.42	0.42	0.42	0.46	0.48	0.48	0.49	0.49	0.50	0.49	0.47	0.48	0.51	0.52	0.58	0.64	0.64	
0.38	0.38	0.38	0.38	0.37	0.37	0.37	0.37	0.38	0.37	0.37	0.37	0.36	0.36	0.36	0.36	0.36	0.37	0.37	0.37	0.37	0.37	0.37	0.38	0.39	0.40	0.43	0.46	0.46	0.42	0.36	0.31	0.28	0.27	0.31	0.37	0.43	0.46	0.43	0.38	0.38	0.38	0.39	0.42	0.45	0.46	0.49	0.49	0.47	0.46	0.46	0.45	0.42	0.39	0.37	0.38	0.40	0.42	0.40	0.37	0.38	0.40	0.42	0.45	0.47	0.46	0.43	0.41	0.43	0.45	0.43	0.38	0.35	0.35	0.36	0.38	0.42	0.36	0.25	0.23	0.30	0.38	0.45	0.52	0.59	0.59	0.55	0.52	0.50	0.45	0.38	0.37	0.44	0.51	0.53	0.50	0.47	0.44	0.41	0.36	0.33	0.33	0.38	0.43	0.41	0.40	0.44	0.47	0.48	0.50	0.56	0.56	0.47	0.43	0.42	0.42	0.42	0.41	0.41	0.41	0.41	0.41	0.44	0.48	0.48	0.46	0.45	0.42	0.33	0.23	0.19	0.21	0.24	0.25	0.25	0.28	0.34	0.40	0.42	0.45	0.44	0.41	0.40	0.41	0.44	0.47	0.48	0.48	0.48	0.50	0.50	0.49	0.48	0.50	0.50	0.56	0.66	0.70	
0.38	0.38	0.38	0.38	0.38	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.36	0.36	0.36	0.36	0.36	0.37	0.37	0.37	0.37	0.37	0.38	0.39	0.40	0.42	0.47	0.51	0.49	0.44	0.38	0.31	0.27	0.25	0.29	0.36	0.45	0.46	0.41	0.38	0.39	0.39	0.42	0.45	0.47	0.51	0.55	0.53	0.48	0.48	0.51	0.50	0.46	0.41	0.38	0.41	0.46	0.46	0.44	0.43	0.41	0.37	0.37	0.40	0.43	0.43	0.42	0.44	0.46	0.46	0.41	0.37	0.35	0.34	0.35	0.42	0.45	0.35	0.24	0.23	0.29	0.35	0.41	0.48	0.54	0.56	0.56	0.57	0.52	0.41	0.34	0.36	0.46	0.54	0.56	0.54	0.51	0.47	0.42	0.37	0.34	0.36	0.40	0.39	0.38	0.39	0.42	0.43	0.45	0.52	0.55	0.49	0.45	0.44	0.43	0.42	0.41	0.40	0.40	0.41	0.41	0.43	0.47	0.49	0.49	0.49	0.46	0.38	0.26	0.21	0.20	0.20	0.22	0.24	0.27	0.31	0.36	0.40	0.45	0.45	0.41	0.38	0.39	0.42	0.45	0.45	0.43	0.42	0.45	0.47	0.48	0.47	0.47	0.47	0.50	0.63	0.72	
0.38	0.38	0.38	0.38	0.38	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.36	0.36	0.36	0.36	0.36	0.37	0.37	0.37	0.37	0.37	0.37	0.38	0.39	0.42	0.47	0.54	0.56	0.55	0.49	0.40	0.34	0.29	0.28	0.33	0.42	0.48	0.45	0.43	0.44	0.44	0.44	0.46	0.48	0.50	0.55	0.58	0.53	0.50	0.54	0.56	0.53	0.47	0.41	0.42	0.48	0.50	0.46	0.45	0.45	0.43	0.38	0.38	0.41	0.41	0.42	0.44	0.45	0.46	0.45	0.42	0.38	0.33	0.31	0.34	0.43	0.42	0.30	0.22	0.23	0.28	0.33	0.37	0.42	0.45	0.48	0.54	0.56	0.49	0.37	0.31	0.36	0.46	0.54	0.58	0.59	0.56	0.51	0.46	0.40	0.37	0.40	0.38	0.35	0.35	0.38	0.41	0.45	0.51	0.53	0.49	0.44	0.42	0.41	0.41	0.39	0.39	0.40	0.42	0.43	0.44	0.46	0.48	0.50	0.51	0.51	0.43	0.30	0.22	0.16	0.15	0.18	0.22	0.25	0.27	0.32	0.36	0.41	0.44	0.41	0.38	0.37	0.40	0.44	0.45	0.38	0.36	0.42	0.45	0.46	0.47	0.45	0.45	0.47	0.56	0.65	
0.38	0.38	0.38	0.38	0.38	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.36	0.36	0.36	0.36	0.36	0.37	0.37	0.37	0.37	0.37	0.37	0.38	0.40	0.44	0.51	0.57	0.62	0.62	0.54	0.45	0.39	0.38	0.40	0.46	0.51	0.50	0.50	0.51	0.51	0.51	0.49	0.49	0.51	0.54	0.60	0.62	0.59	0.59	0.61	0.60	0.56	0.48	0.44	0.45	0.49	0.46	0.42	0.42	0.45	0.42	0.39	0.38	0.38	0.40	0.43	0.43	0.43	0.44	0.44	0.40	0.35	0.32	0.34	0.41	0.44	0.35	0.23	0.19	0.22	0.28	0.32	0.35	0.38	0.41	0.47	0.55	0.55	0.45	0.33	0.29	0.34	0.41	0.49	0.56	0.61	0.61	0.57	0.50	0.43	0.41	0.39	0.34	0.33	0.36	0.39	0.44	0.51	0.52	0.49	0.44	0.39	0.38	0.38	0.38	0.38	0.40	0.43	0.43	0.43	0.45	0.47	0.49	0.52	0.53	0.47	0.34	0.25	0.18	0.15	0.18	0.19	0.19	0.20	0.30	0.34	0.36	0.40	0.41	0.39	0.38	0.38	0.42	0.44	0.39	0.37	0.40	0.45	0.49	0.48	0.46	0.45	0.46	0.52	0.58	
0.38	0.38	0.38	0.38	0.38	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.36	0.36	0.36	0.36	0.36	0.37	0.37	0.37	0.37	0.37	0.36	0.36	0.38	0.42	0.46	0.52	0.59	0.60	0.55	0.49	0.46	0.47	0.49	0.53	0.53	0.52	0.53	0.54	0.54	0.53	0.51	0.51	0.52	0.54	0.58	0.59	0.59	0.60	0.62	0.60	0.52	0.45	0.42	0.45	0.47	0.42	0.37	0.40	0.42	0.39	0.35	0.34	0.36	0.41	0.42	0.37	0.36	0.38	0.38	0.37	0.37	0.38	0.42	0.47	0.43	0.29	0.21	0.20	0.24	0.30	0.34	0.37	0.40	0.43	0.48	0.53	0.51	0.40	0.28	0.24	0.26	0.30	0.38	0.49	0.58	0.62	0.59	0.52	0.46	0.42	0.37	0.34	0.36	0.39	0.43	0.51	0.52	0.49	0.45	0.39	0.35	0.35	0.35	0.35	0.37	0.42	0.44	0.43	0.45	0.47	0.48	0.50	0.54	0.54	0.43	0.33	0.25	0.19	0.19	0.18	0.16	0.16	0.29	0.36	0.36	0.38	0.39	0.38	0.38	0.37	0.39	0.42	0.38	0.35	0.37	0.44	0.52	0.54	0.49	0.46	0.46	0.50	0.53	
0.38	0.38	0.38	0.38	0.39	0.38	0.37	0.38	0.38	0.37	0.37	0.37	0.37	0.37	0.37	0.36	0.36	0.36	0.36	0.36	0.36	0.37	0.37	0.37	0.36	0.36	0.35	0.36	0.38	0.41	0.45	0.51	0.55	0.56	0.50	0.45	0.45	0.48	0.51	0.51	0.50	0.48	0.47	0.48	0.49	0.48	0.47	0.45	0.44	0.45	0.45	0.47	0.50	0.56	0.58	0.52	0.49	0.45	0.43	0.46	0.44	0.37	0.38	0.42	0.41	0.35	0.31	0.34	0.41	0.43	0.37	0.33	0.34	0.35	0.36	0.38	0.39	0.43	0.49	0.50	0.40	0.29	0.24	0.24	0.27	0.30	0.32	0.34	0.36	0.39	0.43	0.48	0.47	0.36	0.25	0.21	0.20	0.23	0.31	0.43	0.54	0.59	0.57	0.52	0.46	0.38	0.36	0.37	0.39	0.44	0.51	0.53	0.49	0.44	0.37	0.32	0.32	0.33	0.32	0.33	0.38	0.44	0.45	0.46	0.47	0.47	0.49	0.55	0.58	0.54	0.47	0.41	0.30	0.24	0.20	0.18	0.16	0.25	0.37	0.39	0.39	0.38	0.36	0.35	0.36	0.39	0.40	0.36	0.34	0.36	0.43	0.53	0.59	0.56	0.50	0.48	0.49	0.51	
0.39	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.37	0.37	0.37	0.38	0.37	0.37	0.37	0.36	0.36	0.35	0.35	0.36	0.36	0.36	0.37	0.36	0.35	0.35	0.36	0.39	0.44	0.50	0.54	0.55	0.55	0.48	0.40	0.40	0.44	0.45	0.44	0.45	0.43	0.42	0.42	0.43	0.42	0.41	0.40	0.39	0.39	0.39	0.39	0.42	0.48	0.54	0.52	0.51	0.52	0.51	0.48	0.42	0.37	0.39	0.45	0.46	0.38	0.31	0.33	0.42	0.47	0.41	0.36	0.37	0.36	0.36	0.37	0.39	0.43	0.49	0.53	0.47	0.37	0.30	0.26	0.25	0.26	0.28	0.29	0.32	0.35	0.37	0.41	0.46	0.44	0.34	0.25	0.21	0.21	0.24	0.32	0.44	0.54	0.57	0.55	0.48	0.40	0.36	0.37	0.40	0.45	0.52	0.57	0.53	0.45	0.35	0.30	0.30	0.32	0.33	0.33	0.36	0.42	0.46	0.47	0.46	0.47	0.50	0.54	0.58	0.59	0.57	0.54	0.45	0.34	0.25	0.20	0.18	0.23	0.35	0.40	0.40	0.39	0.36	0.35	0.37	0.39	0.40	0.38	0.37	0.38	0.42	0.51	0.59	0.61	0.57	0.52	0.51	0.51	
0.39	0.39	0.38	0.38	0.38	0.38	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.36	0.36	0.35	0.35	0.35	0.36	0.36	0.35	0.35	0.35	0.37	0.42	0.48	0.52	0.54	0.57	0.53	0.39	0.37	0.42	0.43	0.42	0.43	0.42	0.41	0.41	0.39	0.38	0.38	0.38	0.37	0.38	0.38	0.37	0.37	0.40	0.46	0.46	0.44	0.49	0.57	0.57	0.47	0.37	0.38	0.46	0.52	0.46	0.34	0.29	0.37	0.47	0.47	0.43	0.41	0.39	0.37	0.37	0.38	0.42	0.49	0.57	0.55	0.46	0.38	0.31	0.28	0.30	0.31	0.31	0.32	0.37	0.39	0.40	0.43	0.45	0.41	0.34	0.29	0.25	0.25	0.29	0.36	0.48	0.56	0.57	0.52	0.43	0.37	0.37	0.42	0.46	0.53	0.61	0.62	0.49	0.33	0.31	0.32	0.33	0.34	0.35	0.36	0.40	0.45	0.45	0.46	0.47	0.49	0.52	0.53	0.53	0.53	0.53	0.48	0.40	0.29	0.20	0.17	0.17	0.28	0.37	0.40	0.41	0.40	0.38	0.38	0.38	0.39	0.39	0.40	0.41	0.43	0.47	0.53	0.59	0.59	0.53	0.51	0.52	
0.39	0.39	0.39	0.39	0.38	0.38	0.38	0.38	0.38	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.36	0.36	0.36	0.35	0.34	0.34	0.35	0.35	0.34	0.33	0.33	0.34	0.37	0.44	0.49	0.56	0.58	0.49	0.40	0.41	0.44	0.44	0.44	0.42	0.40	0.39	0.37	0.35	0.35	0.35	0.36	0.37	0.37	0.37	0.36	0.36	0.38	0.39	0.38	0.39	0.49	0.59	0.55	0.42	0.37	0.42	0.53	0.54	0.42	0.31	0.31	0.40	0.46	0.46	0.43	0.40	0.36	0.34	0.34	0.36	0.41	0.52	0.60	0.57	0.51	0.42	0.32	0.31	0.35	0.35	0.33	0.37	0.41	0.44	0.46	0.46	0.43	0.37	0.33	0.30	0.29	0.29	0.33	0.42	0.54	0.59	0.56	0.47	0.39	0.37	0.41	0.47	0.53	0.60	0.65	0.54	0.34	0.33	0.36	0.35	0.36	0.37	0.38	0.40	0.43	0.45	0.46	0.47	0.48	0.49	0.49	0.47	0.47	0.48	0.48	0.45	0.38	0.28	0.21	0.18	0.24	0.34	0.39	0.42	0.42	0.41	0.39	0.39	0.41	0.42	0.43	0.44	0.45	0.45	0.47	0.55	0.57	0.50	0.50	0.52	
0.38	0.39	0.39	0.40	0.39	0.38	0.38	0.38	0.38	0.38	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.36	0.36	0.36	0.36	0.35	0.34	0.33	0.33	0.33	0.33	0.33	0.31	0.30	0.32	0.38	0.45	0.51	0.57	0.56	0.48	0.42	0.42	0.42	0.41	0.41	0.39	0.38	0.38	0.37	0.35	0.36	0.37	0.38	0.38	0.38	0.38	0.37	0.37	0.39	0.38	0.37	0.40	0.52	0.55	0.43	0.34	0.35	0.47	0.57	0.53	0.40	0.33	0.33	0.38	0.41	0.41	0.38	0.34	0.32	0.30	0.29	0.29	0.35	0.48	0.56	0.57	0.52	0.39	0.29	0.32	0.37	0.36	0.37	0.42	0.46	0.49	0.49	0.43	0.36	0.32	0.30	0.30	0.32	0.34	0.38	0.48	0.58	0.58	0.50	0.43	0.39	0.40	0.45	0.50	0.56	0.61	0.54	0.39	0.37	0.37	0.37	0.37	0.38	0.39	0.42	0.47	0.49	0.49	0.49	0.50	0.50	0.49	0.48	0.49	0.50	0.51	0.52	0.52	0.47	0.39	0.35	0.34	0.37	0.40	0.42	0.44	0.43	0.42	0.42	0.43	0.44	0.43	0.42	0.43	0.44	0.46	0.54	0.55	0.47	0.46	0.49	
0.38	0.38	0.38	0.39	0.39	0.39	0.38	0.38	0.38	0.38	0.37	0.37	0.37	0.37	0.37	0.36	0.36	0.36	0.36	0.36	0.35	0.35	0.34	0.33	0.32	0.32	0.31	0.31	0.31	0.31	0.32	0.36	0.40	0.45	0.50	0.52	0.50	0.46	0.43	0.40	0.38	0.39	0.40	0.40	0.39	0.40	0.38	0.38	0.38	0.38	0.39	0.40	0.41	0.41	0.41	0.41	0.42	0.41	0.41	0.48	0.53	0.44	0.33	0.31	0.39	0.52	0.58	0.51	0.41	0.34	0.32	0.34	0.36	0.34	0.33	0.32	0.30	0.31	0.31	0.29	0.33	0.42	0.52	0.57	0.50	0.33	0.28	0.34	0.39	0.38	0.40	0.44	0.48	0.52	0.48	0.40	0.35	0.31	0.30	0.32	0.35	0.37	0.43	0.54	0.59	0.53	0.46	0.41	0.40	0.44	0.50	0.56	0.58	0.51	0.43	0.41	0.39	0.38	0.40	0.42	0.43	0.48	0.51	0.52	0.52	0.53	0.54	0.54	0.54	0.54	0.54	0.53	0.53	0.53	0.55	0.54	0.51	0.46	0.43	0.43	0.44	0.44	0.46	0.47	0.45	0.44	0.42	0.42	0.43	0.43	0.42	0.42	0.44	0.52	0.53	0.46	0.44	0.44	
0.39	0.38	0.38	0.38	0.38	0.39	0.38	0.38	0.37	0.38	0.37	0.37	0.37	0.37	0.37	0.37	0.36	0.36	0.36	0.36	0.35	0.35	0.34	0.34	0.33	0.32	0.31	0.31	0.33	0.35	0.35	0.35	0.36	0.39	0.44	0.45	0.46	0.46	0.44	0.42	0.40	0.39	0.40	0.41	0.41	0.41	0.40	0.40	0.41	0.41	0.40	0.40	0.42	0.43	0.42	0.41	0.44	0.47	0.47	0.50	0.54	0.48	0.37	0.31	0.32	0.42	0.53	0.53	0.45	0.38	0.35	0.35	0.35	0.34	0.34	0.33	0.31	0.34	0.39	0.36	0.30	0.34	0.44	0.54	0.57	0.45	0.30	0.31	0.37	0.39	0.38	0.42	0.47	0.51	0.50	0.46	0.40	0.34	0.30	0.30	0.33	0.36	0.39	0.49	0.58	0.56	0.49	0.42	0.39	0.44	0.51	0.58	0.58	0.48	0.43	0.43	0.42	0.42	0.46	0.50	0.50	0.49	0.49	0.50	0.50	0.51	0.53	0.55	0.57	0.57	0.56	0.55	0.53	0.51	0.50	0.50	0.49	0.47	0.45	0.45	0.46	0.47	0.48	0.47	0.44	0.43	0.41	0.40	0.43	0.47	0.48	0.45	0.44	0.49	0.49	0.46	0.45	0.43	
0.39	0.39	0.39	0.38	0.38	0.38	0.38	0.38	0.37	0.37	0.38	0.37	0.37	0.37	0.37	0.36	0.36	0.36	0.36	0.36	0.36	0.35	0.35	0.34	0.33	0.32	0.31	0.31	0.33	0.34	0.33	0.32	0.33	0.36	0.41	0.43	0.43	0.45	0.46	0.45	0.43	0.42	0.42	0.43	0.44	0.44	0.43	0.44	0.46	0.48	0.46	0.44	0.44	0.47	0.46	0.43	0.45	0.51	0.54	0.57	0.60	0.59	0.49	0.38	0.33	0.37	0.47	0.50	0.44	0.40	0.40	0.41	0.42	0.40	0.37	0.35	0.33	0.34	0.42	0.46	0.38	0.35	0.39	0.47	0.56	0.53	0.40	0.34	0.37	0.41	0.40	0.41	0.45	0.47	0.46	0.44	0.40	0.36	0.31	0.28	0.30	0.35	0.37	0.43	0.53	0.58	0.54	0.47	0.41	0.42	0.47	0.57	0.59	0.53	0.49	0.45	0.44	0.47	0.50	0.51	0.50	0.47	0.46	0.48	0.49	0.48	0.48	0.48	0.50	0.53	0.54	0.54	0.53	0.51	0.48	0.47	0.46	0.44	0.42	0.41	0.43	0.44	0.45	0.45	0.42	0.41	0.41	0.43	0.45	0.49	0.54	0.55	0.53	0.49	0.43	0.43	0.44	0.43	
0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.36	0.36	0.36	0.36	0.36	0.35	0.35	0.35	0.34	0.33	0.32	0.31	0.30	0.29	0.29	0.29	0.29	0.30	0.34	0.38	0.41	0.43	0.48	0.50	0.49	0.45	0.43	0.43	0.44	0.47	0.48	0.46	0.44	0.46	0.50	0.51	0.47	0.47	0.52	0.56	0.54	0.53	0.57	0.61	0.64	0.67	0.70	0.65	0.50	0.38	0.39	0.47	0.50	0.43	0.40	0.40	0.41	0.42	0.41	0.40	0.39	0.36	0.35	0.42	0.52	0.50	0.42	0.39	0.41	0.49	0.52	0.45	0.38	0.38	0.42	0.44	0.44	0.46	0.46	0.43	0.41	0.39	0.36	0.33	0.29	0.29	0.33	0.37	0.40	0.46	0.55	0.58	0.57	0.55	0.51	0.52	0.61	0.63	0.58	0.56	0.51	0.47	0.50	0.51	0.49	0.48	0.47	0.47	0.47	0.49	0.49	0.48	0.46	0.45	0.46	0.48	0.49	0.50	0.50	0.50	0.50	0.48	0.46	0.43	0.40	0.39	0.40	0.41	0.42	0.41	0.39	0.40	0.44	0.48	0.50	0.53	0.60	0.64	0.57	0.44	0.40	0.42	0.42	
0.39	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.36	0.36	0.36	0.36	0.35	0.35	0.35	0.34	0.33	0.32	0.30	0.28	0.26	0.26	0.27	0.26	0.27	0.30	0.34	0.37	0.39	0.44	0.51	0.53	0.51	0.48	0.46	0.45	0.46	0.49	0.50	0.48	0.47	0.50	0.53	0.49	0.47	0.51	0.58	0.60	0.57	0.56	0.57	0.60	0.61	0.66	0.71	0.62	0.45	0.42	0.50	0.52	0.45	0.42	0.40	0.38	0.37	0.36	0.38	0.41	0.39	0.38	0.40	0.49	0.55	0.53	0.49	0.46	0.49	0.49	0.44	0.40	0.39	0.40	0.44	0.48	0.51	0.48	0.42	0.38	0.37	0.35	0.34	0.31	0.29	0.30	0.36	0.39	0.42	0.47	0.53	0.55	0.58	0.59	0.61	0.69	0.77	0.74	0.68	0.64	0.59	0.56	0.53	0.51	0.49	0.48	0.47	0.47	0.47	0.47	0.48	0.48	0.46	0.44	0.45	0.45	0.45	0.46	0.48	0.50	0.51	0.49	0.46	0.42	0.41	0.42	0.44	0.45	0.43	0.40	0.40	0.43	0.47	0.50	0.52	0.58	0.69	0.69	0.55	0.44	0.41	0.41	
0.39	0.39	0.39	0.38	0.38	0.38	0.38	0.38	0.38	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.36	0.36	0.36	0.35	0.35	0.35	0.34	0.33	0.32	0.30	0.28	0.27	0.27	0.27	0.27	0.26	0.27	0.31	0.35	0.37	0.39	0.44	0.52	0.56	0.57	0.56	0.52	0.50	0.51	0.55	0.56	0.54	0.54	0.56	0.54	0.48	0.44	0.46	0.50	0.49	0.45	0.46	0.49	0.51	0.54	0.64	0.69	0.57	0.48	0.52	0.55	0.50	0.47	0.44	0.41	0.38	0.35	0.37	0.41	0.41	0.39	0.39	0.42	0.48	0.52	0.55	0.54	0.54	0.54	0.51	0.46	0.41	0.39	0.40	0.46	0.55	0.54	0.44	0.37	0.36	0.37	0.36	0.33	0.30	0.30	0.35	0.39	0.41	0.44	0.45	0.45	0.46	0.49	0.52	0.63	0.82	0.91	0.85	0.72	0.62	0.57	0.54	0.53	0.51	0.49	0.48	0.47	0.47	0.45	0.45	0.47	0.48	0.47	0.45	0.46	0.46	0.44	0.41	0.41	0.42	0.42	0.41	0.40	0.41	0.45	0.49	0.52	0.52	0.48	0.48	0.51	0.52	0.54	0.54	0.55	0.64	0.74	0.68	0.54	0.46	0.43	
0.39	0.39	0.39	0.38	0.38	0.38	0.37	0.38	0.38	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.36	0.36	0.36	0.36	0.35	0.35	0.34	0.34	0.33	0.32	0.31	0.30	0.28	0.28	0.29	0.28	0.27	0.27	0.29	0.33	0.38	0.42	0.44	0.49	0.53	0.56	0.57	0.56	0.54	0.53	0.53	0.53	0.51	0.48	0.50	0.50	0.45	0.39	0.38	0.41	0.42	0.40	0.40	0.43	0.44	0.45	0.53	0.64	0.67	0.59	0.55	0.60	0.60	0.56	0.53	0.51	0.46	0.42	0.41	0.43	0.42	0.40	0.39	0.41	0.45	0.47	0.50	0.54	0.56	0.58	0.58	0.54	0.46	0.40	0.38	0.42	0.53	0.59	0.52	0.44	0.41	0.40	0.39	0.37	0.33	0.31	0.33	0.37	0.41	0.44	0.44	0.44	0.44	0.44	0.45	0.52	0.68	0.83	0.81	0.66	0.59	0.56	0.55	0.54	0.52	0.51	0.51	0.50	0.49	0.47	0.46	0.46	0.48	0.48	0.48	0.48	0.47	0.42	0.34	0.31	0.32	0.33	0.34	0.36	0.39	0.43	0.48	0.52	0.56	0.56	0.56	0.59	0.58	0.55	0.54	0.52	0.56	0.70	0.77	0.71	0.57	0.50	
0.39	0.39	0.39	0.39	0.38	0.38	0.38	0.37	0.38	0.37	0.37	0.37	0.37	0.36	0.36	0.36	0.36	0.36	0.36	0.36	0.35	0.35	0.34	0.34	0.34	0.33	0.32	0.31	0.29	0.28	0.28	0.29	0.28	0.28	0.29	0.31	0.36	0.41	0.44	0.44	0.46	0.48	0.50	0.51	0.50	0.47	0.46	0.46	0.45	0.44	0.45	0.47	0.45	0.41	0.40	0.40	0.40	0.40	0.40	0.42	0.42	0.41	0.42	0.50	0.61	0.64	0.61	0.62	0.67	0.69	0.68	0.67	0.62	0.55	0.52	0.50	0.47	0.43	0.41	0.41	0.44	0.46	0.49	0.51	0.53	0.55	0.57	0.57	0.51	0.44	0.39	0.40	0.47	0.56	0.54	0.48	0.44	0.40	0.39	0.40	0.36	0.32	0.32	0.34	0.38	0.42	0.45	0.46	0.47	0.48	0.47	0.48	0.54	0.63	0.63	0.60	0.57	0.56	0.57	0.56	0.53	0.52	0.52	0.53	0.53	0.51	0.49	0.47	0.48	0.49	0.48	0.46	0.44	0.40	0.34	0.32	0.31	0.31	0.33	0.37	0.40	0.43	0.46	0.49	0.51	0.53	0.53	0.54	0.56	0.55	0.54	0.50	0.47	0.55	0.70	0.76	0.69	0.64	
